CdSe sonochem 90min ex360,,CdSe sonochem 90min ex345,,CdSe sonochem 90min ex330,,CdSe sonochem 90min em420,,CdSe sonochem 90min em515,,CdSe sonochem 90min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
531.9400024,131.2676239,516.960022,142.8787384,501.9400024,73.53765106,402,22.75444221,422,163.7211456,556.8599854,79.8440094,
532.9799805,126.0189819,517.8699951,143.484314,502.980011,76.40008545,403.0700073,21.42837906,423.0700073,162.7229462,557.9099731,78.07365417,
534.0200195,120.8203583,518.9299927,143.8741302,504.019989,77.92254639,404,19.26740074,424,162.0496979,558.9500122,76.16615295,
535.0700073,116.8603973,519.8400269,144.0830994,505.0700073,81.79753876,405.0700073,18.08054543,425.0700073,159.7741699,559.8499756,75.21960449,
535.9699707,115.6803894,520.8900146,142.6990814,505.9700012,86.45558929,406,16.73496628,426,160.3276825,560.8900146,74.09233856,
537.0100098,111.8122864,521.9400024,141.6881561,507.0100098,88.48760986,407.0700073,15.07966614,427.0700073,157.4568176,561.9400024,73.12138367,
538.0499878,108.0122528,522.9799805,138.7396698,508.0499878,91.61130524,408,14.28751945,428,157.0198669,562.9799805,71.35292053,
538.9500122,106.3559418,523.8800049,136.2293854,508.9500122,95.16690826,409.0700073,13.25408173,429.0700073,156.2492981,563.8800049,70.03734589,
540,104.8294373,524.9199829,134.2823334,510,100.7935333,410,12.59405708,430,154.9860077,564.9199829,69.15735626,
541.0200195,100.0712738,525.9699707,130.4772797,511.0599976,100.0311813,,,431.0599976,155.1987,565.9699707,67.50905609,
542.0499878,97.50538635,526.8599854,128.0611877,511.9599915,103.8704071,,,431.9599915,155.9583893,566.8599854,67.72159576,
542.9400024,95.17814636,527.9099731,125.3003387,513.0300293,106.7625351,,,433.0299988,155.0163727,567.9099731,64.50960541,
543.9699707,94.27726746,528.9500122,123.2441864,513.9299927,105.980278,,,433.9299927,154.5130005,568.9500122,64.20187378,
545,92.2293396,529.8499756,120.8047943,515,108.2814407,,,435,153.7614441,569.8499756,63.52682877,
546.0200195,87.90895081,530.8900146,114.3538818,516.0599976,110.0771484,,,436.0599976,153.4417572,570.8800049,62.74235916,
547.0499878,85.37001038,531.9400024,114.3040924,516.960022,110.041687,,,436.9599915,154.0723877,571.9099731,61.72069168,
547.9400024,84.02110291,532.9799805,108.3049164,518.0300293,111.9262466,,,438.0299988,153.2231293,572.9400024,60.50488663,
548.9699707,82.65016174,533.8800049,108.1488647,518.9299927,112.1364136,,,438.9299927,153.3790283,573.9699707,58.96345139,
550,82.5254364,534.9199829,100.8272247,520,109.6297989,,,440,152.8113861,574.8499756,60.2362709,
551.039978,80.94984436,535.9699707,100.0612106,521.039978,110.8212662,,,441.0599976,152.6355743,575.8800049,57.92903519,
551.9400024,77.57511902,536.8599854,97.66571045,521.9400024,108.0656586,,,441.9599915,152.3655548,576.9099731,55.66012192,
